l1d_size,l1i_size,l2_size,Unrolling_Factor,Total_Memory,Cycles
64,64,128,8,256,42263570
64,64,128,16,256,42202926
64,64,128,32,256,42253077
64,64,256,2,384,42360329
64,64,256,4,384,42156017
64,64,256,8,384,41994243
64,64,256,16,384,41931372
64,64,256,32,384,42089619
64,64,512,2,640,42355049
64,64,512,4,640,42146338
64,64,512,8,640,41986269
64,64,512,16,640,41930407
64,64,512,32,640,42089879
64,64,1024,2,1152,42382922
64,64,1024,4,1152,42178152
64,64,1024,8,1152,42033122
64,64,1024,16,1152,41953281
64,64,1024,32,1152,42097211
